ORTHO,PHON
bouder,bude
boudera,budRa
boudes,bud
boudeur,bud9R
boudeurs,bud9R
boudeuse,bud2z
boudin,bud5
boudoirs,budwaR
boue,bu
bouée,bwe
bouées,bwe
boues,bu
boueuse,bw2z
boueuses,bw2z
boueux,bw2
bouffant,buf@
bouffant,buf@
bouffante,buf@t
bouffants,buf@
bouffe,buf
bouffée,bufe
bouffées,bufe
bouffer,bufe
bouffon,buf%
bougard,bugaR
bouge,buZ
bougé,buZe
bougé,buZe
bougea,buZa
bougeai,buZE
bougeaient,buZE
bougeais,buZE
bougeait,buZE
bougeant,buZ@
bougent,buZ
bougeoir,buZwaR
bougeoirs,buZwaR
bouger,buZe
bougèrent,buZER
bouges,buZ
bougez,buZe
bougie,buZi
bougie,buZi
bougies,buZi
bougions,buZj%
bougon,bug%
bougonna,bugona
bougonnant,bugon@
bougonne,bugon
bougonne,bugon
bougonner,bugone
bougonneront,bugonR%
bougre,bugR*
bougrement,bugR*m@
bouillabaisse,bujabEs
bouillaient,bujE
bouillait,bujE
bouillant,buj@
bouillante,buj@t
bouille,buj
bouille,buj
bouilli,buji
bouilli,buji
bouillie,buji
bouillie,buji
bouillie,buji
bouillies,buji
bouillies,buji
bouillies,buji
bouillir,bujiR
bouillis,buji
bouilloire,bujwaR
bouilloires,bujwaR
bouillon,buj%
bouillonnait,bujonE
bouillonnant,bujon@
bouillonnante,bujon@t
bouillonnantes,bujon@t
bouillonnants,bujon@
bouillonne,bujon
bouillonné,bujone
bouillonnement,bujonm@
bouillonnent,bujon
bouillonner,bujone
bouillons,buj%
bouillotte,bujot
boula,bula
boulanger,bul@Ze
boulanger,bul@Ze
boulangère,bul@ZER
boulangerie,bul@ZRi
boulangeries,bul@ZRi
boulangers,bul@Ze
boule,bul
boule,bul
bouleau,bulO
bouleaux,bulO
bouledogue,buldog
bouler,bule
boules,bul
boulet,bulE
boulet,bulE
boulets,bulE
boulette,bulEt
boulettes,bulEt
boulevard,bulvaR
boulevards,bulvaR
bouleversa,bulvERsa
bouleverse,bulvERs*
bouleversé,bulvERse
bouleversé,bulvERse
bouleversée,bulvERse
bouleversées,bulvERse
bouleversement,bulvERs*m@
bouleversements,bulvERs*m@
bouleverser,bulvERse
bouleversera,bulvERs*Ra
bouleversés,bulvERse
bouleversés,bulvERse
boulier,bulje
bouliers,bulje
boulka,bulka
boulogne,buloN
boulon,bul%
boulonner,bulone
boulons,bul%
boulot,bulO
boulots,bulO
boulotte,bulot
boum,bum
bouquet,bukE
bouquetin,bukt5
bouquetins,bukt5
bouquets,bukE
bouquin,buk5
bouquine,bukin
bouquins,buk5
bourde,buRd*
bourdon,buRd%
bourdonnaient,buRdonE
bourdonnait,buRdonE
bourdonnant,buRdon@
bourdonnant,buRdon@
bourdonnante,buRdon@t
bourdonnants,buRdon@
bourdonne,buRdon
bourdonnement,buRdonm@
bourdonnent,buRdon
bourdonner,buRdone
bourdons,buRd%
bourg,buR
bourgade,buRgad
bourgeois,buRZwa
bourgeois,buRZwa
bourgeoise,buRZwaz
bourgeoisement,buRZwazm@
bourgeon,buRZ%
bourgeonné,buRZone
bourgeonner,buRZone
bourgeons,buRZ%
bourges,buRZ*
bourgmestre,buRgmEstR*
bourgogne,buRgoN
bourgogne,buRgoN
bourgs,buR
bourguignon,buRgiN%
bourlinguait,buRl5gE
bourra,buRa
bourrade,buRad
bourrades,buRad
bourrai,buRE
bourraient,buRE
bourrait,buRE
bourrasque,buRask*
bourrasques,buRask*
bourre,buR
bourre,buR
bourré,buRe
bourreau,buRO
bourreaux,buRO
bourrée,buRe
bourrée,buRe
bourrées,buRe
bourrelet,buRlE
bourrelets,buRlE
bourrent,buR
bourrer,buRe
bourrèrent,buRER
bourres,buR
bourrés,buRe
bourriche,buRiS
bourricot,buRikO
bourricots,buRikO
bourrique,buRik
bourru,buRy
bourrus,buRy
bourse,buRs*
boursier,buRsje
boursiers,buRsje
boursouflée,buRsufle
boursouflée,buRsufle
boursouflures,buRsuflyR
bous,bu
bouscula,buskyla
bousculade,buskylad
bousculades,buskylad
bousculaient,buskylE
bousculait,buskylE
bousculant,buskyl@
bouscule,buskyl
bousculé,buskyle
bousculées,buskyle
bousculent,buskyl
bousculer,buskyle
bousculèrent,buskylER
bousiller,buzije
boussole,busol
boussoles,busol
bout,bu
bout,bu
bouté,bute
bouteille,butEj
bouteilles,butEj
boutique,butik
boutiques,butik
boutoir,butwaR
bouton,but%
boutonnage,butonaZ
boutonnait,butonE
boutonne,buton
boutonné,butone
boutonner,butone
boutonneux,buton2
boutonnières,butonjER
boutons,but%
boutre,butR*
bouts,bu
bouture,butyR
boutures,butyR
bouvier,buvje
bouvreuil,buvR9j
bouvreuils,buvR9j
bovidé,bovide
bovidés,bovide
bovins,bov5
bowling,boliG
boxe,boks*
boxe,boks*
boxé,bokse
boxent,boks*
boxer,bokse
boxeur,boks9R
boxeurs,boks9R
boy,boj
boyau,bwajO
brabant,bRab@
bracelet,bRaslE
bracelets,bRaslE
brachiosaure,bRakjOzoR
braconnage,bRakonaZ
braconnier,bRakonje
braconnière,bRakonjER
braconniers,bRakonje
braient,bRE
braies,bRE
brailla,bRAja
braillaient,bRAjE
braillant,bRAj@
braillard,bRAjAR
braille,bRAj
braille,bRAj
braille,bRAj
brailler,bRAje
braire,bRER
braise,bREz
braisée,bReze
braises,bREz
brame,bRAm
bramé,bRAme
brament,bRAm
bramer,bRAme
brancard,bR@kaR
brancardiers,bR@kaRdje
brancards,bR@kaR
branchage,bR@SaZ
branchages,bR@SaZ
branche,bR@S
branche,bR@S
branché,bR@Se
branchées,bR@Se
branchement,bR@Sm@
branchements,bR@Sm@
brancher,bR@Se
branches,bR@S
branchettes,bR@SEt
branchies,bR@Si
brandie,bR@di
brandir,bR@diR
brandissait,bR@disE
brandissant,bR@dis@
brandit,bR@di
brandy,bR@di
branlait,bR@lE
branlant,bR@l@
branlante,bR@l@t
branle,bR@l
branler,bR@le
braquait,bRakE
braque,bRak
braque,bRak
braqué,bRake
braquées,bRake
braquer,bRake
braqués,bRake
braquions,bRakj%
bras,bRA
brasero,bRAzeRO
braseros,bRAzeRO
brasier,bRAzje
brassage,bRasaZ
brassaient,bRasE
brassard,bRasaR
brassards,bRasaR
brasse,bRas
brasse,bRas
brassée,bRase
brassées,bRase
brasser,bRase
brasserie,bRasRi
brasseries,bRasRi
brasses,bRas
brassier,bRasje
brassière,bRasjER
bravache,bRavaS
brave,bRav
brave,bRav
brave,bRav
bravé,bRave
bravement,bRavm@
braver,bRave
braves,bRav
braves,bRav
bravo,bRavO
bravos,bRavO
bravoure,bRavuR
break,bREk
breakfast,bREkf9st
breaks,bREk
brebis,bR*bi
brèche,bRES
bredouilla,bR*duja
bredouillait,bR*dujE
bredouillante,bR*duj@t
bredouille,bR*duj
bredouille,bR*duj
bredouillement,bR*dujm@
bredouiller,bR*duje
bredouilles,bR*duj
bredouilles,bR*duj
bref,bREf
bref,bREf
brefs,bREf
breloc,bR*lok
breloques,bR*lok
brésil,bRezil
brésilien,bRezilj5
brésilien,bRezilj5
brésilienne,bReziljEn
brésilienne,bReziljEn
brésiliens,bRezilj5
brest,bREst
brestois,bREstwa
bretagne,bR*taN
bretelle,bR*tEl
bretelles,bR*tEl
breton,bR*t%
breton,bR*t%
breton,bR*t%
bretonne,bR*ton
bretonne,bR*ton
bretonnes,bR*ton
bretons,bR*t%
bretons,bR*t%
bretteur,bREt9R
breuvage,bR9vaZ
brève,bREv
brève,bREv
brèves,bREv
brevet,bR*vE
breveté,bR*vte
breveter,bR*vte
brevets,bR*vE
bréviaire,bRevjER
briard,bRijaR
briard,bRijaR
bribes,bRib
brick,bRik
bricolage,bRikolaZ
bricolages,bRikolaZ
bricolait,bRikolE
bricole,bRikol
bricole,bRikol
bricolé,bRikole
bricoler,bRikole
bricoles,bRikol
bricolés,bRikole
bricoleur,bRikol9R
bricoleur,bRikol9R
bricoleurs,bRikol9R
bride,bRid
bride,bRid
brider,bRide
brides,bRid
bridés,bRide
bridge,bRidZ*
brie,bRi
brière,bRijER
brièvement,bRijEvm@
brièveté,bRijEvte
brigade,bRigad
brigadier,bRigadje
brigand,bRig@
brigands,bRig@
brigitte,bRiZit
brigué,bRige
briguer,bRige
brilla,bRija
brillaient,bRijE
brillait,bRijE
brillamment,bRijam@
brillant,bRij@
brillant,bRij@
brillant,bRij@
brillante,bRij@t
brillantes,bRij@t
brillantes,bRij@t
brillants,bRij@
brillants,bRij@
brille,bRij
brillé,bRije
brillent,bRij
briller,bRije
brillera,bRiRa
brillerait,bRiRE
brillèrent,bRijER
brilles,bRij
brillez,bRije
brillons,bRij%
brimade,bRimad
brimbalant,bR5bal@
brin,bR5
brindille,bR5dij
brindilles,bR5dij
brinquebalaient,bR5kbalE
brins,bR5
brio,bRijO
brioche,bRijoS
brioches,bRijoS
briquambroque,bRik@bROk
brique,bRik
brique,bRik
briques,bRik
briquet,bRikE
briquets,bRikE
brisa,bRiza
brisaient,bRizE
brisait,bRizE
brisant,bRiz@
brisant,bRiz@
brisants,bRiz@
brise,bRiz
brise,bRiz
brisé,bRize
brisé,bRize
brisée,bRize
brisée,bRize
brisée,bRize
brisées,bRize
brisent,bRiz
briser,bRize
brisera,bRizRa
briserais,bRizRE
brisèrent,bRizER
brises,bRiz
brisés,bRize
brisés,bRize
bristanoc,bRistanok
bristol,bRistol
brisures,bRizyR
britannique,bRitanik
britannique,bRitanik
britanniques,bRitanik
britanniques,bRitanik
broc,bRO
broca,bRoka
brocanteurs,bRok@t9R
brocart,bRokaR
broche,bRoS
broche,bRoS
broché,bRoSe
broches,bRoS
brochet,bRoSE
brochette,bRoSEt
brochettes,bRoSEt
brochure,bRoSyR
brode,bRod
brodé,bRode
brodé,bRode
brodée,bRode
brodée,bRode
brodées,bRode
brodées,bRode
brodequins,bRodk5
broder,bRode
broderie,bRodRi
brodés,bRode
brodez,bRode
broient,bRwa
broncha,bR%Sa
bronchaient,bR%SE
bronchait,bR%SE
bronché,bR%Se
broncher,bR%Se
bronches,bR%S
bronchite,bR%Sit
bronchites,bR%Sit
bronzait,bR%zE
bronze,bR%z
bronzé,bR%ze
bronzé,bR%ze
bronzée,bR%ze
bronzée,bR%ze
bronzer,bR%ze
bronzés,bR%ze
bronzés,bR%ze
broquille,bRokij
brossage,bRosaZ
brossait,bRosE
brossant,bRos@
brosse,bRos
brosse,bRos
brossé,bRose
brossent,bRos
brosser,bRose
brossera,bRosRa
brosserait,bRosRE
brosserons,bRosR%
brosses,bRos
brosses,bRos
brossés,bRose
brossez,bRose
brouet,bRuE
brouette,bRuEt
brouettée,bRuEte
brouettes,bRuEt
brouhaha,bRuaa
brouillaient,bRujE
brouillard,bRujaR
brouillard,bRujaR
brouillards,bRujaR
brouille,bRuj
brouille,bRuj
brouillé,bRuje
brouillée,bRuje
brouillées,bRuje
brouillées,bRuje
brouillent,bRuj
brouiller,bRuje
brouillés,bRuje
brouillon,bRuj%
brouillon,bRuj%
brouillons,bRuj%
broussaille,bRusAj
broussailles,bRusAj
broussard,bRusaR
brousse,bRus
brouta,bRuta
broutait,bRutE
broutant,bRut@
broute,bRut
brouté,bRute
broutent,bRut
brouter,bRute
broutilles,bRutij
broyé,bRwaje
broyée,bRwaje
broyée,bRwaje
broyer,bRwaje
broyèrent,bRwajER
broyez,bRwaje
bru,bRy
brû,bRy
bruegel,bR2g9l
brugnons,bRyN%
bruine,bR8in
bruinera,bR8inRa
bruire,bR8iR
bruissaient,bR8isE
bruissant,bR8is@
bruissante,bR8is@t
bruissantes,bR8is@t
bruisse,bR8is
bruissement,bR8ism@
bruissements,bR8ism@
bruissent,bR8is
bruit,bR8i
bruit,bR8i
bruitages,bR8itaZ
bruits,bR8i
brûla,bRyla
brûlaient,bRylE
brûlait,bRylE
brûlant,bRyl@
brûlant,bRyl@
brûlante,bRyl@t
brûlantes,bRyl@t
brûlants,bRyl@
brûle,bRyl
brûlé,bRyle
brûlé,bRyle
brûlé,bRyle
brûlée,bRyle
brûlée,bRyle
brûlées,bRyle
brûlées,bRyle
brûlent,bRyl
brûler,bRyle
brûlerait,bRylRE
brûles,bRyl
brûlés,bRyle
brûlés,bRyle
brûlés,bRyle
brûleur,bRyl9R
brûlure,bRylyR
brûlures,bRylyR
brume,bRym
brumes,bRym
brumeuse,bRym2z
brumeuses,bRym2z
brumeux,bRym2
brumiser,bRymize
brun,bR1
brun,bR1
brun,bR1
brunâtre,bRynAtR*
brune,bRyn
brune,bRyn
brunes,bRyn
brunes,bRyn
brunette,bRynEt
bruni,bRyni
brunie,bRyni
brunie,bRyni
brunies,bRyni
brunir,bRyniR
bruno,bRyno
bruns,bR1
bruns,bR1
brusque,bRysk*
brusquement,bRysk*m@
brusquerie,bRysk*Ri
brusques,bRysk*
brut,bRyt
brutal,bRytal
brutale,bRytal
brutalement,bRytalm@
brutalisé,bRytalize
brutaliser,bRytalize
brutalité,bRytalite
brutalités,bRytalite
brutaux,bRytO
brute,bRyt
brute,bRyt
brutes,bRyt
bruxelles,bRysEl
bruyamment,bR8ijam@
bruyant,bR8ij@
bruyante,bR8ij@t
bruyantes,bR8ij@t
bruyants,bR8ij@
bruyère,bR8ijER
bruyères,bR8ijER
bryone,bRijon
bu,by
bubu,byby
bûche,byS
bûcher,bySe
bûcheron,bySR%
bûcheronne,bySRon
bûcherons,bySR%
bûchers,bySe
bûches,byS
bûchettes,bySEt
buck,b9k
bucolique,bykolik
budget,bydZE
budgets,bydZE
bue,by
buée,b8e
buées,b8e
buffet,byfE
buffet,byfE
buffle,byfl*
buffles,byfl*
buffon,byf%
bugle,bygl*
building,byldiG
buildings,byldiG
buis,b8i
buisson,b8is%
buissonneux,b8ison2
buissonnière,b8isonjER
buissonnières,b8isonjER
buissons,b8is%
bulbe,bylb*
bulbes,bylb*
bulgare,bylgaR
bulgares,bylgaR
bulldozer,byldozER
bulldozers,byldozER
bulle,byl
bulles,byl
bulletin,bylt5
bulletins,bylt5
bullit,bylit
bundle,b9nd9l
bungalows,b1galO
buraliste,byRalist*
bure,byR
bureau,byRO
bureau,byRO
bureaux,byRO
burent,byR
burgaux,byRgO
burin,byR5
bus,bys
bus,by
bus,bys
buse,byz
buses,byz
busqué,byske
buste,byst*
but,by
but,by
bût,by
buta,byta
butane,bytan
butant,byt@
bute,byt
buté,byte
buté,byte
butent,byt
buter,byte
butés,byte
buteur,byt9R
butin,byt5
butinaient,bytinE
butinant,bytin@
butine,bytin
butiné,bytine
butinent,bytin
butiner,bytine
butoir,bytwaR
butor,bytoR
buts,byt
butte,byt
buttes,byt
buvable,byvabl*
buvaient,byvE
buvait,byvE
buvant,byv@
buvard,byvaR
buvard,byvaR
buvette,byvEt
buveur,byv9R
buveurs,byv9R
buvez,byve
buviez,byvje
buvons,byv%
buzz,b9z
bwana,bwana
byzantin,biz@t5
ça,sa
çà,sa
cabalistique,kabalistik
caban,kab@
cabane,kaban
cabanes,kaban
cabanon,kaban%
cabaret,kabaRE
cabarets,kabaRE
cabas,kabA
cabestan,kabEst@
cabillaud,kabijO
cabillauds,kabijO
cabine,kabin
cabines,kabin
cabinet,kabinE
cabinets,kabinE
câble,kAbl*
câbles,kAbl*
cabochard,kaboSaR
caboches,kaboS
cabossé,kabose
cabossée,kabose
cabossées,kabose
cabossés,kabose
cabot,kabO
cabotage,kabotaZ
cabotant,kabot@
cabotine,kabotin
cabotine,kabotin
cabra,kAbRa
cabre,kAbR*
cabré,kAbRe
cabrette,kabREt
cabrettes,kabREt
cabri,kabRi
cabridan,kabRid@
cabriolant,kabRijol@
cabriolants,kabRijol@
cabriole,kabRijol
cabriole,kabRijol
cabriolent,kabRijol
cabrioles,kabRijol
cabriolet,kabRijolE
cabris,kabRi
cacahuète,kakawEt
cacahuètes,kakawEt
cacao,kakaO
cacaoyer,kakaoje
cacarde,kakaRd*
cacarder,kakaRde
cacatoès,kakatoEs
cacha,kaSa
cachaient,kaSE
cachais,kaSE
cachait,kaSE
cachalot,kaSalO
cachalots,kaSalO
cachant,kaS@
cache,kaS
cache,kaS
caché,kaSe
caché,kaSe
cachée,kaSe
cachée,kaSe
cachées,kaSe
cachées,kaSe
cachent,kaS
cacher,kaSe
cacherai,kaSRE
cacheraient,kaSRE
cachèrent,kaSER
cacherez,kaSRe
caches,kaS
caches,kaS
cachés,kaSe
cachés,kaSe
cachet,kaSE
cacheté,kaSte
cachetée,kaSte
cachetées,kaSte
cacheter,kaSte
cachètes,kaSEt
cachets,kaSE
cachette,kaSEt
cachettes,kaSEt
cachez,kaSe
cachions,kaSj%
cachot,kaSO
cachotteries,kaSotRi
cachottier,kaSotje
cachous,kaSu
cacophonie,kakofoni
cactus,kaktys
cadavre,kadAvR*
cadavres,kadAvR*
caddie,kadi
caddies,kadi
cadeau,kadO
cadeaux,kadO
cadenas,kadnA
cadenasser,kadnase
cadence,kad@s
cadencé,kad@se
cadencé,kad@se
cadènes,kadEn
cades,kad
cadet,kadE
cadet,kadE
cadets,kadE
cadette,kadEt
cadette,kadEt
cadi,kadi
cadillac,kadijak
cadis,kadi
cadot,kadO
cadra,kAdRa
cadrage,kAdRaZ
cadran,kadR@
cadrans,kadR@
cadre,kAdR*
cadres,kAdR*
cadreur,kAdR9R
caduques,kadyk
caen,k@
cafard,kafaR
cafardeux,kafaRd2
cafards,kafaR
café,kafe
café,kafe
caféier,kafeje
caféine,kafein
cafés,kafe
cafétéria,kafeteRja
cafetier,kaftje
cafetière,kaftjER
cafouillage,kafujaZ
cage,kaZ
cageot,kaZO
cageots,kaZO
cages,kaZ
cagibi,kaZibi
cagnotte,kaNot
cagoule,kagul
cahier,kaje
cahiers,kaje
cahoté,kaote
cahotée,kaote
cahotent,kaot
cahoter,kaote
cahoteuse,kaot2z
cahoteux,kaot2
cahute,kayt
caïd,kaid
caillage,kajaZ
caillasse,kajas
caille,kaj
caille,kaj
caillé,kaje
caillé,kaje
caillebotis,kajboti
cailler,kaje
cailles,kaj
caillots,kajO
caillou,kaju
caillouteux,kajut2
cailloux,kaju
caïman,kaim@
caïmans,kaim@
caire,kER
caisse,kEs
caisses,kEs
caissette,kEsEt
caissettes,kEsEt
caissier,kesje
caissière,kesjER
caisson,kEs%
caissons,kEs%
cajole,kaZol
cajolé,kaZole
cajoler,kaZole
cake,kEk
cal,kal
cala,kala
calais,kalE
calait,kalE
calamité,kalamite
calanque,kal@k
calanques,kal@k
calant,kal@
calao,kalaO
calcaire,kalkER
calcaires,kalkER
calcaires,kalkER
calciné,kalsine
calciné,kalsine
calcinés,kalsine
calcium,kalsjom
calcul,kalkyl
calcula,kalkyla
calculait,kalkylE
calculant,kalkyl@
calculateurs,kalkylat9R
calculatrice,kalkylatRis
calculatrices,kalkylatRis
calcule,kalkyl
calculé,kalkyle
calculée,kalkyle
calculer,kalkyle
calculons,kalkyl%
calculs,kalkyl
cale,kal
cale,kal
calé,kale
caleb,kalEb
calebasse,kalbAs
calebasses,kalbAs
calèche,kalES
calèches,kalES
caleçon,kals%
caleçons,kals%
calembours,kal@buR
calendrier,kal@dRije
calendriers,kal@dRije
calepin,kalp5
caler,kale
cales,kal
calés,kale
calez,kale
calfeutre,kalf2tR*
calibre,kalibR*
calice,kalis
calices,kalis
calico,kaliko
calicot,kalikO
calife,kalif
californie,kalifoRni
californien,kalifoRnj5
californienne,kalifoRnjEn
califourchon,kalifuRS%
câlin,kAl5
câlin,kAl5
câline,kAlin
câline,kAlin
câlins,kAl5
câlins,kAl5
calleuse,kal2z
calleux,kal2
calligramme,kaligRam
calligrammes,kaligRam
calma,kalma
calmait,kalmE
calmant,kalm@
calmante,kalm@t
calmantes,kalm@t
calmars,kalmaR
calme,kalm*
calme,kalm*
calme,kalm*
calmé,kalme
calmée,kalme
calmement,kalm*m@
calment,kalm*
calmer,kalme
calmera,kalm*Ra
calmèrent,kalmER
calmeront,kalm*R%
calmes,kalm*
calmez,kalme
calomnie,kalomni
calons,kal%
calories,kaloRi
calorifique,kaloRifik
calot,kalO
calots,kalO
calotte,kalot
calque,kalk*
calque,kalk*
calquer,kalke
cals,kal
calumet,kalymE
calvados,kalvadOs
calvaire,kalvER
calvitie,kalvisi
camail,kamaj
camarade,kamaRad
camaraderie,kamaRadRi
camarades,kamaRad
camard,kamaR
camarde,kamaRd*
camargue,kamaRg
cambodge,k@bodZ
cambouis,k@bwi
cambra,k@bRa
cambrai,k@bRE
cambrait,k@bRE
cambriolage,k@bRijolaZ
cambriolages,k@bRijolaZ
cambriole,k@bRijol
cambriolé,k@bRijole
cambriolée,k@bRijole
cambrioler,k@bRijole
cambriolés,k@bRijole
cambrioleur,k@bRijol9R
cambrioleurs,k@bRijol9R
cambrure,k@bRyR
cambuse,k@byz
camées,kame
caméléon,kamele%
caméléons,kamele%
camélia,kamelja
camelot,kamlO
camelote,kamlot
camembert,kam@bER
camemberts,kam@bER
caméra,kameRa
cameraman,kameRaman
caméras,kameRa
cameroun,kamRun
caméscope,kameskop
caméscopes,kameskop
camille,kamij
camion,kamj%
camionnette,kamjonEt
camionneur,kamjon9R
camions,kamj%
camomille,kamomij
camouflage,kamuflaZ
camouflé,kamufle
camouflée,kamufle
camoufler,kamufle
camp,k@
campa,k@pa
campagnard,k@paNaR
campagnards,k@paNaR
campagne,k@paN
campagnes,k@paN
campagnol,k@paNol
campais,k@pE
campait,k@pE
campanule,k@panyl
campanules,k@panyl
campe,k@p
campé,k@pe
campement,k@pm@
campements,k@pm@
camper,k@pe
camperai,k@pRE
camperaient,k@pRE
campeur,k@p9R
campeurs,k@p9R
camping,k@piG
campings,k@piG
campons,k@p%
camps,k@
camus,kamy
canada,kanada
canadair,kanadER
canadairs,kanadER
canadien,kanadj5
canadienne,kanadjEn
canadienne,kanadjEn
canadiens,kanadj5
canadiens,kanadj5
canaille,kanAj
canailles,kanAj
canailles,kanAj
canal,kanal
canalisation,kanalizasj%
canalisations,kanalizasj%
canalisent,kanaliz
canaliser,kanalize
canapé,kanape
canapés,kanape
canaque,kanak
canard,kanaR
canards,kanaR
canari,kanaRi
canari,kanaRi
canaries,kanaRi
canaris,kanaRi
canaux,kanO
canaveral,kanaveRal
cancanaient,k@kanE
cancanait,k@kanE
cancanant,k@kan@
cancane,k@kan
cancaner,k@kane
cancer,k@sER
cancérologie,k@seRoloZi
cancoillotte,k@kwajot
cancre,k@kR*
cancres,k@kR*
candeur,k@d9R
candidat,k@dida
candidate,k@didat
candidates,k@didat
candidats,k@dida
candidature,k@didatyR
candidatures,k@didatyR
candide,k@did
candides,k@did
candis,k@di
cane,kan
canes,kan
caneton,kant%
canetons,kant%
canette,kanEt
canevas,kanva
caniche,kaniS
caniches,kaniS
canicule,kanikyl
canidés,kanide
canif,kanif
canifs,kanif
canine,kanin
canines,kanin
caniveau,kanivO
caniveaux,kanivO
canne,kan
cannelier,kan*lje
cannelle,kanEl
cannelures,kanlyR
cannes,kan
cannes,kan
cannibale,kanibal
canoë,kanoe
canon,kan%
canon,kanon
canon,kan%
canonnade,kanonad
canonniers,kanonje
canons,kan%
canons,kan%
canot,kanO
canotage,kanotaZ
canotier,kanotje
canotiers,kanotje
canots,kanO
canson,k@s%
cantal,k@tal
cantatrice,k@tatRis
cantatrices,k@tatRis
canterville,k@tERvil
cantilène,k@tilEn
cantine,k@tin
cantique,k@tik
canton,k@t%
cantonade,k@tonad
cantonal,k@tonal
cantonnais,k@tonE
cantonniers,k@tonje
cantons,k@t%
canuts,kany
canyons,kanj%
caoutchouc,kautSu
caoutchoucs,kautSu
cap,kap
cap,kap
capable,kapabl*
capables,kapabl*
capacité,kapasite
capacités,kapasite
caparaçonné,kapaRasone
caparaçonnées,kapaRasone
caparaçonner,kapaRasone
capdeverre,kapd*vER
cape,kap
capeline,kaplin
capes,kap
capharnaüm,kafaRnaom
capi,kapi
capillaire,kapilER
capitaine,kapitEn
capitaines,kapitEn
capital,kapital
capital,kapital
capitale,kapital
capitales,kapital
capitales,kapital
capitan,kapit@
capitaux,kapitO
capitaux,kapitO
capiteuse,kapit2z
capiteux,kapit2
capitonnage,kapitonaZ
capitonné,kapitone
capitula,kapityla
caporal,kapoRal
capot,kapO
capot,kapO
capote,kapot
capoté,kapote
capoter,kapote
capotes,kapot
câpre,kApR*
câpres,kApR*
caprice,kapRis
caprices,kapRis
capricieuse,kapRisj2z
capricieuses,kapRisj2z
capricieux,kapRisj2
capricorne,kapRikoRn*
capricorne,kapRikoRn*
capsule,kapsyl
capsuler,kapsyle
capta,kapta
captage,kaptaZ
capte,kapt*
captée,kapte
captent,kapt*
capter,kapte
captèrent,kaptER
captes,kapt*
capteur,kapt9R
captif,kaptif
captif,kaptif
captifs,kaptif
captifs,kaptif
captivante,kaptiv@t
captive,kaptiv
captivé,kaptive
captivées,kaptive
captivité,kaptivite
captura,kaptyRa
capture,kaptyR
capture,kaptyR
capturé,kaptyRe
capturée,kaptyRe
capturent,kaptyR
capturer,kaptyRe
capturèrent,kaptyRER
capturés,kaptyRe
capuce,kapys
capuche,kapyS
capuches,kapyS
capuchon,kapyS%
capuchons,kapyS%
capucin,kapys5
capucine,kapysin
capucines,kapysin
caquelon,kakl%
caquet,kakE
caqueta,kakta
caquetages,kaktaZ
caquetait,kaktE
caquetant,kakt@
caqueter,kakte
caqueteur,kakt9R
caquette,kakEt
caquettent,kakEt
car,kaR
car,kaR
carabas,kaRabas
carabe,kaRab
carabin,kaRab5
carabine,kaRabin
carabines,kaRabin
carabistouille,kaRabistuj
carabosse,kaRabos
caraco,kaRakO
caracolant,kaRakol@
caracoler,kaRakole
caractère,kaRaktER
caractères,kaRaktER
caractérisant,kaRakteRiz@
caractérise,kaRakteRiz
caractérisé,kaRakteRize
caractérisée,kaRakteRize
caractérisent,kaRakteRiz
caractériser,kaRakteRize
caractéristique,kaRakteRistik
caractéristique,kaRakteRistik
caractéristiques,kaRakteRistik
caractéristiques,kaRakteRistik
carafe,kaRaf
carambolage,kaR@bolaZ
carambolages,kaR@bolaZ
caramel,kaRamEl
caramel,kaRamEl
caramels,kaRamEl
carapace,kaRapas
carapaces,kaRapas
carapatait,kaRapatE
caraque,kaRak
caraques,kaRak
caravane,kaRavan
caravanes,kaRavan
caravanier,kaRavanje
caravaniers,kaRavanje
caravaning,kaRavaniG
caravelle,kaRavEl
caravelles,kaRavEl
carbone,kaRbon
carbonique,kaRbonik
carbonisé,kaRbonize
carbonisée,kaRbonize
carburant,kaRbyR@
carburant,kaRbyR@
carcaille,kaRkaj
carcan,kaRk@
carcasse,kaRkas
carcasses,kaRkas
cardage,kaRdaZ
carder,kaRde
cardiaque,kaRdjak
cardinal,kaRdinal
cardinal,kaRdinal
cardinal,kaRdinal
cardinaux,kaRdinO
cardinaux,kaRdinO
cardiologue,kaRdjolog
cardon,kaRd%
carême,kaREm
carême,kaREm
carénage,kaRenaZ
carence,kaR@s
carène,kaREn
caressa,kaREsa
caressaient,kaREsE
caressais,kaREsE
caressait,kaREsE
caressant,kaREs@
caressant,kaREs@
caressante,kaREs@t
caressantes,kaREs@t
caresse,kaREs
caresse,kaREs
caressé,kaRese
caressée,kaRese
caressent,kaREs
caresser,kaRese
caresserai,kaREsRE
caressèrent,kaREsER
caresses,kaREs
cargaison,kaRgEz%
cargo,kaRgO
cargos,kaRgO
cargue,kaRg*
carguer,kaRge
caribou,kaRibu
caribou,kaRibu
caribous,kaRibu
caricature,kaRikatyR
caricatures,kaRikatyR
caricaturés,kaRikatyRe
caricaturistes,kaRikatyRist*
carie,kaRi
cariée,kaRje
cariées,kaRje
caries,kaRi
carillon,kaRij%
carillonna,kaRijona
carillonne,kaRijon
carillonnent,kaRijon
carillons,kaRij%
carine,kaRin
carioca,kaRjoka
carlingue,kaRl5g
carlito,kaRlitO
carlo,kaRlO
carlos,kaRlOs
