GP,LESSON
P~AA,1667
R~IH,1668
O~K,1669
H~T,1670
R~AA,1671
R~G,1672
F~V,1673
C~R,1674
L~M,1675
ER~#,1676
C~OW,1677
A~K,1678
G~R,1679
I~JH,1680
M~AA,1681
T~IH,1682
M~UW,1683
L~IH,1684
U~V,1685
O~R,1686
Y~AA,1687
Y~EH,1688
Y~ER,1689
R~UW,1690
B~AO,1691
S~OW,1692
N~AH,1693
F~EH,1694
T~AA,1695
Y~S,1696
U~G,1697
N~AE,1698
R~AH,1699
A~R,1700
T~M,1701
M~N,1702
F~S,1703
C~L,1704
C~AO,1705
N~HH,1706
E~HH,1707
H~D,1708
R~AY,1709
L~AO,1710
N~M,1711
C~EY,1712
H~N,1713
N~D,1714
B~AA,1715
U~M,1716
T~EY,1717
L~F,1718
I~G,1719
P~S,1720
S~T,1721
E~K,1722
G~S,1723
G~L,1724
C~B,1725
B~S,1726
U~N,1727
P~AH,1728
ER~AH,1729
E~L,1730
G~N,1731
D~Z,1732
E~N,1733
R~AE,1734
C~D,1735
T~Z,1736
R~Z,1737
T~EH,1738
N~AA,1739
N~EH,1740
T~S,1741
R~T,1742
S~K,1743
O~N,1744
S~R,1745
S~L,1746
E~R,1747
A~S,1748
A~N,1749
